,name,Date,value_to_predict
121,AMZN,2001-01-29,0.8659250280180822
122,AMZN,2001-01-30,0.8935498114691041
123,AMZN,2001-01-31,0.9126897704402028
124,AMZN,2001-02-01,0.9214559243365548
125,AMZN,2001-02-02,0.9174368746147648
126,AMZN,2001-02-05,0.9143847395950788
127,AMZN,2001-02-06,0.902121066333346
128,AMZN,2001-02-07,0.883996342102247
129,AMZN,2001-02-08,0.8367001268065077
130,AMZN,2001-02-09,0.7687308415598127
131,AMZN,2001-02-12,0.7174747042419206
132,AMZN,2001-02-13,0.6501806644658674
133,AMZN,2001-02-14,0.6073099186974804
134,AMZN,2001-02-15,0.5844895099491796
135,AMZN,2001-02-16,0.5570215342227578
136,AMZN,2001-02-20,0.529909501264838
137,AMZN,2001-02-21,0.5259908238494175
138,AMZN,2001-02-22,0.5383199489453646
139,AMZN,2001-02-23,0.5579089522563209
140,AMZN,2001-02-26,0.585150789315943
141,AMZN,2001-02-27,0.6256343475375249
142,AMZN,2001-02-28,0.6680495195763153
143,AMZN,2001-03-01,0.7141603905604167
144,AMZN,2001-03-02,0.7533525203462772
145,AMZN,2001-03-05,0.7973217899772023
146,AMZN,2001-03-06,0.8148775878808449
147,AMZN,2001-03-07,0.8451121801308671
148,AMZN,2001-03-08,0.8731887016639495
149,AMZN,2001-03-09,0.9083384694925238
150,AMZN,2001-03-12,0.9175387426979504
151,AMZN,2001-03-13,0.9098947647461612
152,AMZN,2001-03-14,0.9059357388629492
153,AMZN,2001-03-15,0.8909201339358142
154,AMZN,2001-03-16,0.8824093560115333
155,AMZN,2001-03-19,0.8702541041682599
156,AMZN,2001-03-20,0.8698189517278081
157,AMZN,2001-03-21,0.8651036280526813
158,AMZN,2001-03-22,0.8586347325924332
159,AMZN,2001-03-23,0.8573399803129009
160,AMZN,2001-03-26,0.8546397991478809
161,AMZN,2001-03-27,0.8516614598295564
162,AMZN,2001-03-28,0.8500268251259445
163,AMZN,2001-03-29,0.8438849787609611
164,AMZN,2001-03-30,0.8371863766080134
165,AMZN,2001-04-02,0.8331277356743305
166,AMZN,2001-04-03,0.8211684671024316
167,AMZN,2001-04-04,0.7892095057090764
168,AMZN,2001-04-05,0.7410872494400179
169,AMZN,2001-04-06,0.7031472562274023
170,AMZN,2001-04-09,0.6165007434296297
171,AMZN,2001-04-10,0.5130280720428901
172,AMZN,2001-04-11,0.4095603345890552
173,AMZN,2001-04-12,0.3593534612717419
174,AMZN,2001-04-16,0.3890067796990961
175,AMZN,2001-04-17,0.4165388831608713
176,AMZN,2001-04-18,0.4746583370139015
177,AMZN,2001-04-19,0.5273504589796308
178,AMZN,2001-04-20,0.5418847506233975
179,AMZN,2001-04-23,0.569637560973796
180,AMZN,2001-04-24,0.6287630261887848
181,AMZN,2001-04-25,0.67656789654389
182,AMZN,2001-04-26,0.7017136887591475
183,AMZN,2001-04-27,0.7080369931038976
184,AMZN,2001-04-30,0.7090018191478835
185,AMZN,2001-05-01,0.7086198369976571
186,AMZN,2001-05-02,0.7110836453424529
187,AMZN,2001-05-03,0.6907717077162302
